Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Infrared Imageries of Human Body Activated by Tea Match the Hypothesis of Meridian System","Phenomics","","","","10.1007/s43657-022-00090-x","Wenli JinYichen TaoChen WangLufei WangXue AoMingjie SuBinwei HuYuxiao OuyangJiaxing LiuHui Li","2023","http://link.springer.com/article/10.1007/s43657-022-00090-x","Article"
"Influence of Gender on Tau Precipitation in Alzheimer’s Disease According to ATN Research Framework","Phenomics","","","","10.1007/s43657-022-00076-9","Ying ZhangJiaying LuMin WangChuantao ZuoJiehui Jiang","2022","http://link.springer.com/article/10.1007/s43657-022-00076-9","Article"
"Phenome-Wide Association Analysis Reveals Novel Links Between Genetically Determined Levels of Liver Enzymes and Disease Phenotypes","Phenomics","","2","5","10.1007/s43657-021-00033-y","Zhenqiu LiuChen SuoYanfeng JiangRenjia ZhaoTiejun ZhangLi JinXingdong Chen","2022","http://link.springer.com/article/10.1007/s43657-021-00033-y","Article"
"A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping","Phenomics","","2","3","10.1007/s43657-022-00048-z","Taqdeer GillSimranveer K. GillDinesh K. SainiYuvraj ChopraJason P. de KoffKaransher S. Sandhu","2022","http://link.springer.com/article/10.1007/s43657-022-00048-z","Article"
"Seasonality and Sex-Biased Fluctuation of Birth Weight in Tibetan Populations","Phenomics","","2","1","10.1007/s43657-021-00038-7","Yaoxi HeJun LiTian YueWangshan ZhengYongbo GuoHui ZhangLi ChenChunxia LiHongyan LiChaoying CuiOuzhuluobuXuebin QiBing Su","2022","http://link.springer.com/article/10.1007/s43657-021-00038-7","Article"
"Low Concordance Between Blood Pressures Measured in Periodic Health Examinations and in a Workplace-Based Hypertension Management Program","Phenomics","","2","6","10.1007/s43657-022-00067-w","Jun-Xiang ChenYan-Feng ZhouTingting GengSimiao ChenShuohua ChenGuodong WangYan-Bo ZhangYi WangZhou-Zheng TuGang LiuShouling WuAn Pan","2022","http://link.springer.com/article/10.1007/s43657-022-00067-w","Article"
"Nascent Proteome and Glycoproteome Reveal the Inhibition Role of ALG1 in Hepatocellular Carcinoma Cell Migration","Phenomics","","2","4","10.1007/s43657-022-00050-5","Xinyi CaoYuyin ShaoPeiyi MengZhao CaoGuoquan YanJun YaoXinwen ZhouChao LiuLei ZhangHong ShuHaojie Lu","2022","http://link.springer.com/article/10.1007/s43657-022-00050-5","Article"
"Hidden Genetic Regulation of Human Complex Traits via Brain Isoforms","Phenomics","","3","3","10.1007/s43657-023-00100-6","Lu PanChenqing ZhengZhijian YangYudi PawitanTrung Nghia VuXia Shen","2023","http://link.springer.com/article/10.1007/s43657-023-00100-6","Article"
"Comparison of Metabolic Profiling of Arabidopsis Inflorescences Between Landsberg erecta and Columbia, and Meiosis-Defective Mutants by 1H-NMR Spectroscopy","Phenomics","","1","2","10.1007/s43657-021-00012-3","Xiang LiHongkuan WangYing WangLimin ZhangYingxiang Wang","2021","http://link.springer.com/article/10.1007/s43657-021-00012-3","Article"
"Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts","Phenomics","","2","2","10.1007/s43657-021-00040-z","Jiahui ChenYating TangYongxiang JiangYi Lu","2022","http://link.springer.com/article/10.1007/s43657-021-00040-z","Article"
"Mapping Cell Phenomics with Multiparametric Flow Cytometry Assays","Phenomics","","2","4","10.1007/s43657-021-00031-0","Yang LiuHaichu ZhaoBoqiang FuShan JiangJing WangYing Wan","2022","http://link.springer.com/article/10.1007/s43657-021-00031-0","Article"
"A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic Image System","Phenomics","","2","2","10.1007/s43657-022-00046-1","Hong ZhuYong ZhuCan SunFeng Jiang","2022","http://link.springer.com/article/10.1007/s43657-022-00046-1","Article"
"Chinese Medicine Phenomics (Chinmedphenomics): Personalized, Precise and Promising","Phenomics","","2","6","10.1007/s43657-022-00074-x","Chunchun YuanWeiqiang ZhangJing WangChen HuangBing ShuQianqian LiangTingrui HuangJiucun WangQi ShiDezhi TangYongjun Wang","2022","http://link.springer.com/article/10.1007/s43657-022-00074-x","Article"
"Adjustment for the Age- and Gender-Related Metabolic Changes Improves the Differential Diagnosis of Parkinsonism","Phenomics","","3","1","10.1007/s43657-022-00079-6","Jiaying LuMin WangPing WuIgor YakushevHuiwei ZhangSibylle ZieglerJiehui JiangStefan FörsterJian WangMarkus SchwaigerAxel RomingerSung-Cheng HuangFengtao LiuChuantao ZuoKuangyu Shi","2023","http://link.springer.com/article/10.1007/s43657-022-00079-6","Article"
"Origin and Spread of the ALDH2 Glu504Lys Allele","Phenomics","","1","5","10.1007/s43657-021-00017-y","Xiaokai ZhangAijun SunJunbo Ge","2021","http://link.springer.com/article/10.1007/s43657-021-00017-y","Article"
"High-Throughput Phenotyping: A Platform to Accelerate Crop Improvement","Phenomics","","1","2","10.1007/s43657-020-00007-6","Sumit JangraVrantika ChaudharyRam C. YadavNeelam R. Yadav","2021","http://link.springer.com/article/10.1007/s43657-020-00007-6","Article"
"Three Novel Mutations of Microphthalmos Identified in Two Chinese Families","Phenomics","","2","4","10.1007/s43657-022-00053-2","Yating TangJie XuYi LuTianyu Zheng","2022","http://link.springer.com/article/10.1007/s43657-022-00053-2","Article"
"Measurement of Cerebral Oxygen Extraction Fraction Using Quantitative BOLD Approach: A Review","Phenomics","","3","1","10.1007/s43657-022-00081-y","Hongwei LiChengyan WangXuchen YuYu LuoHe Wang","2023","http://link.springer.com/article/10.1007/s43657-022-00081-y","Article"
"α2,3-Sialylation with Fucosylation Associated with More Severe Anti-MDA5 Positive Dermatomyositis Induced by Rapidly Progressive Interstitial Lung Disease","Phenomics","","","","10.1007/s43657-023-00096-z","Rongrong ZhangLi GuoJichen ShaShuwai ChangJiangfeng ZhaoKaiwen WangJiucun WangJianxin GuJing LiuShifang Ren","2023","http://link.springer.com/article/10.1007/s43657-023-00096-z","Article"
"Integrative Identification by Hi-C Revealed Distinct Advanced Structural Variations in Lung Adenocarcinoma Tissue","Phenomics","","3","4","10.1007/s43657-023-00103-3","Tingting SongMenglin YaoYing YangZhiqiang LiuLi ZhangWeimin Li","2023","http://link.springer.com/article/10.1007/s43657-023-00103-3","Article"
