,,Number,Manuscript.Number,Article.Title,Author.Name,Article.Type,Current.Status,Decision,Status.Date,Initial.Date.Submitted,Country,Institution of the First Corresponding Author,is Fudan,is invited,Issue,is online
,,22,PNMC-D-21-00005R3,Molecular determinants of antibiotic resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a multi-omics approach: a review of ten years of study,Jose Arturo Molina-Mora (COSTA RICA),Review,Final Decision Accept,,19-May-21,29-Jan-21,COSTA RICA,University of Costa Rica Faculty of Microbiology,0,Y,"2021,3",1
,,20,PNMC-D-21-00004,Reverse-phase protein arrays reveals clinical candidate protein biomarkers and prognosis-related proteins model in glioblastoma¡¡multiform,Chunlong Zhong (CHINA),Article,Revise,Minor Revisions,5-Mar-21,24-Jan-21,CHINA,"Shanghai East Hospital,Tongji University School of Medicine",0,Y,,
,,19,PNMC-D-21-00003R1,Reverse-phase protein arrays reveals clinical candidate protein biomarkers and prognosis-related proteins model in low grade glioma,Hailiang Zhang (CHINA),Article,Sent Back to Author,,14-Mar-22,19-Jan-21,CHINA,Fudan University Shanghai Cancer Center,1,Y,,
,,18,PNMC-D-21-00002R5,Prediction of metabolic disorders using NMR-based metabolomics: the Shanghai Changfeng Study,Xin Gao (CHINA),Article,Final Decision Accept,,4-Aug-21,9-Jan-21,CHINA,Fudan University,1,Y,"2021,4",1
,,17,PNMC-D-21-00001R3,Genetic architecture of childhood kidney and urological diseases in China,jia Rao (CHINA),Article,Final Decision Accept,,23-Apr-21,8-Jan-21,CHINA,Fudan University,1,Y,"2021,3",1
,,15,PNMC-D-20-00017R2,"Identification and evaluation of Croton macrostachyus honeys¡®antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis",Kasim Roba Jilo (ETHIOPIA),Article,Final Decision Accept,,12-Apr-21,31-Dec-20,ETHIOPIA,Oromia agricultural research institute,0,N,,
,,14,PNMC-D-20-00016,"Comparison of metabolic profiling of Arabidopsis inflorescences between Landsberg erecta and Columbia, and meiosis-defective mutants by 1H-NMR spectroscopy",Yingxiang Wang (CHINA),Article,Final Decision Reject,,25-Jan-21,24-Dec-20,CHINA,Fudan University,1,Y,"2021,2",1
,,13,PNMC-D-20-00015R1,Whole-exome sequencing identified additional genetic variants that may contribute to the phenotype of TGFBI-associated corneal dystrophy,Bo Hong (CHINA),Article,Final Decision Accept,,10-Feb-21,21-Dec-20,CHINA,University of Science and Technology of China,0,Y,,
,,12,PNMC-D-20-00014R2,"Identification and evaluation of Croton macrostachyus honeys¡®antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis",Kasim Roba Jilo (ETHIOPIA),Brief Communication,Final Decision Reject,,1-Aug-22,15-Dec-20,ETHIOPIA,Oromia agricultural research institute,0,N,,
,,16,PNMC-D-20-00012,Random Penetrance of Mutations among Individuals: a New Type of Genetic Drift in Molecular Evolution,Xun Gu (UNITED STATES),Article,Final Decision Reject,,25-Jan-21,4-Jan-21,UNITED STATES,Iowa State University,0,Y,"2021,3",1
,,9,PNMC-D-20-00011R1,N-glycoproteomics study of putative drug resistance N-glycoprotein biomarkers in MCF-7/ADR cells,Zhixin Tian (CHINA),Article,Final Decision Accept,,7-Jan-21,2-Dec-20,CHINA,Tongji University,0,Y,"2021,6",1
,,11,PNMC-D-20-00010,Distribution atlas of COVID-19 pneumonia on computed tomography: a deep learning based description,Shenghong Ju (CHINA),Article,Final Decision Reject,,25-Dec-20,14-Dec-20,CHINA,Southeast University,0,Y,"2021,2",1
,,8,PNMC-D-20-00009R6,"Causal Relationship between Complement C3, C4, and Nonalcoholic Fatty Liver Disease: Bidirectional Mendelian Randomization Analysis",xiaobo yang (CHINA),Article,Final Decision Accept,,8-Oct-21,5-Nov-20,CHINA,Guangxi Medical University,0,Y,"2021,5",1
,,7,PNMC-D-20-00008R3,"ASSESMENT OF ETHNO-BOTANICAL MEDICINAL PLANTS USED BY PEOPLE OF SETEMA DISTRICT, JIMMA ZONE, SOUTH WEST ETHIOPIA",Guta Waktole Weyesa (ETHIOPIA),Article,Final Decision Accept,,19-Aug-21,25-Oct-20,ETHIOPIA,Ethiopian Biodiversity Institute,0,N,,
,,10,PNMC-D-20-00007,Association of CAPN10 Haplotype Combinations with Type2Diabetes Mellitus and Metabolic Syndrome among Egyptians Pilot study: Genotyping of three CAPN10 variants,Shaymaa W El-Far (SAUDI ARABIA),Article,Content Files Deleted - Forced to Withdrawn,,27-Mar-21,4-Dec-20,SAUDI ARABIA,Taif University,0,N,,
,,6,PNMC-D-20-00006R1,The ultrafast and accurate mapping algorithm FANSe3: mapping a human whole genome sequencing dataset within 30 minutes,Gong Zhang (CHINA),Article,Final Decision Accept,,10-Nov-20,16-Oct-20,CHINA,Jinan University,0,Y,"2021,1",1
,,5,PNMC-D-20-00005R2,RNA-sequencing reveals gene expression and pathway signatures in umbilical cord blood affected by birth delivery mode,dan chen (CHINA),Article,Revise,Accept but needs final editing,14-Dec-21,15-Sep-20,CHINA,The Chinese University of Hong Kong,0,Y,,
,,4,PNMC-D-20-00004R1,High-throughput phenotyping: a platform for accelerating crop improvement,Neelam R. Yadav (INDIA),Review,Final Decision Accept,,2-Nov-20,30-Aug-20,INDIA,Chaudhary Charan Singh Haryana Agricultural University,0,N,"2021,2",1
,,3,PNMC-D-20-00003R2,Effect of Light on Cognitive Function During a Stroop Task By Using Functional Near-Infrared Spectroscopy-based,Yafei Yuan (CHINA),Article,Final Decision Accept,,7-Jan-21,27-Aug-20,CHINA,Fudan University,1,Y,"2021,2",1
,,2,PNMC-D-20-00002R1,In situ saturating mutagenesis screening identifies a functional genomic locus that regulates Ucp1 expression,Qiurong Ding (CHINA),Correspondence/Letter to the Editor,Final Decision Accept,,2-Nov-20,19-Aug-20,CHINA,Institute for Nutritional Sciences Shanghai Institutes for Biological Sciences Chinese Academy of Sciences,0,Y,"2021,1",1
,,1,PNMC-D-20-00001R1,Using composite phenotypes to reveal hidden physiological heterogeneity in high-altitude acclimatization in a Chinese Han longitudinal cohort,Yi Li (CHINA),Article,Final Decision Accept,,26-Oct-20,18-Jul-20,CHINA,Fudan University,1,Y,"2021,1",1
,,0,,Welcome to the Phenomics Journal,Li Jin (CHINA),Editorial,,,,,,,,Y,"2021,1",1
